Destination Port, Flow Duration, Total Fwd Packets, Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Bwd Packet Length Max, Bwd Packet Length Min, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance, FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Std, Active Max, Active Min, Idle Std, Label
80,1947,6,74,74,0,12.3333,1172,0,720082,5649.72,194.7,458.146,1559,3,389.4,607.226,27,1722,430.5,651.644,1559,38,0,0,200,168,2568.05,0,1172,127.455,111337,2,0,3,10,0,0.833333,32120,249,1,32,0,0,0,0,0,PortScan
80,1188,6,74,74,0,12.3333,1172,0,1.18013e+06,9259.26,118.8,228.68,768,6,237.6,295.524,34,1145,286.25,295.232,768,36,0,0,200,168,4208.75,0,1172,127.455,111337,2,0,3,10,0,0.833333,32120,249,1,32,0,0,0,0,0,PortScan
80,1250,6,74,74,0,12.3333,1172,0,1.1216e+06,8800,125,281.961,967,3,250,373.495,29,1123,280.75,396.362,967,41,0,0,200,168,4000,0,1172,127.455,111337,2,0,3,10,0,0.833333,32120,249,1,32,0,0,0,0,0,PortScan
80,1155,6,74,74,0,12.3333,1172,0,1.21385e+06,9523.81,115.5,250.563,860,2,231,332.513,22,1008,252,351.25,860,35,0,0,200,168,4329,0,1172,127.455,111337,2,0,3,10,0,0.833333,32120,249,1,32,0,0,0,0,0,PortScan
80,1080,6,74,74,0,12.3333,1172,0,1.29815e+06,10185.2,108,238.844,819,2,216,318.063,21,951,237.75,335.778,819,29,0,0,200,168,4629.63,0,1172,127.455,111337,2,0,3,10,0,0.833333,32120,249,1,32,0,0,0,0,0,PortScan
80,1885,6,74,74,0,12.3333,1172,0,743767,5835.54,188.5,279.792,834,6,210.2,224.709,33,1866,466.5,303.34,886,93,0,0,200,168,2652.52,0,1172,127.455,111337,2,0,3,10,0,0.833333,32120,249,1,32,0,0,0,0,0,PortScan
80,1730,6,74,74,0,12.3333,1172,0,810405,6358.38,173,245.475,648,5,216.4,238.851,34,1710,427.5,251.5,701,92,0,0,200,168,2890.17,0,1172,127.455,111337,2,0,3,10,0,0.833333,32120,249,1,32,0,0,0,0,0,PortScan
80,1164,6,74,74,0,12.3333,1172,0,1.20447e+06,9450.17,116.4,186.55,630,5,232.8,223.995,34,1032,258,233.104,630,36,0,0,200,168,4295.53,0,1172,127.455,111337,2,0,3,10,0,0.833333,32120,249,1,32,0,0,0,0,0,PortScan
80,1.16664e+06,8,507,507,0,63.375,1414,0,1780.32,11.1431,97220.2,280564,1.02332e+06,2,166663,351240,41,6556,1639,1550.61,4201,67,0,0,272,168,4.2858,0,1414,159.769,149918,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,1.12718e+06,8,404,404,0,50.5,1302,0,1651.92,11.5333,93931.2,279720,1.01947e+06,2,161025,351181,16,4527,1131.75,1718.97,4098,19,0,0,272,168,4.43587,0,1302,143.231,124312,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
