Interface eth0, index:6, IP address: 172.17.0.2
eBPF program attached to traffic control subsystem
Packet Capture Started, Please Ctrl+C to stop

flow gen, 172.17.0.1-172.17.0.2-57818-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-45044-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56360-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56372-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56380-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56386-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56390-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56406-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56422-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56430-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56432-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56438-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56454-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56468-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56484-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56496-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56498-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56514-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56518-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56534-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56542-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56546-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56560-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56568-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56572-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56574-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56578-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56592-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56600-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56612-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56616-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56632-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56644-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56656-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56666-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56682-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56690-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56704-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56712-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56724-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56736-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56742-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56748-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56760-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56776-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56786-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56792-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56796-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56798-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56814-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56826-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56828-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56842-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56858-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56860-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56876-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56884-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56892-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56908-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56910-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56914-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56928-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56944-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56956-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56958-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56968-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56978-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56980-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-56988-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57000-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57016-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57018-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57024-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57028-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57032-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57046-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57054-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57062-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57066-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57070-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57084-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57100-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57112-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57118-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57130-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57136-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57148-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57162-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57166-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57174-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57178-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57192-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57206-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57222-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57232-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57248-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57252-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57262-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57276-80-6, predict result: BENIGN
